"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 21:37:26 GMT 2021","Fri Aug 13 21:37:28 GMT 2021","1538","test","test_conduit_app","TestConduitApp","","","test_logout",""
"passed","Fri Aug 13 21:36:30 GMT 2021","Fri Aug 13 21:37:25 GMT 2021","54892","test","test_conduit_app","TestConduitApp","","","test_delete_article",""
"passed","Fri Aug 13 21:35:18 GMT 2021","Fri Aug 13 21:35:18 GMT 2021","142","test","test_conduit_app","TestConduitApp","","","test_accept_cookies",""
"passed","Fri Aug 13 21:35:44 GMT 2021","Fri Aug 13 21:36:08 GMT 2021","23144","test","test_conduit_app","TestConduitApp","","","test_create_new_article_from_csv",""
"passed","Fri Aug 13 21:35:26 GMT 2021","Fri Aug 13 21:35:28 GMT 2021","1510","test","test_conduit_app","TestConduitApp","","","test_login",""
"passed","Fri Aug 13 21:35:19 GMT 2021","Fri Aug 13 21:35:25 GMT 2021","5885","test","test_conduit_app","TestConduitApp","","","test_registration",""
"passed","Fri Aug 13 21:35:30 GMT 2021","Fri Aug 13 21:35:34 GMT 2021","3410","test","test_conduit_app","TestConduitApp","","","test_create_new_article",""
"passed","Fri Aug 13 21:35:35 GMT 2021","Fri Aug 13 21:35:43 GMT 2021","7288","test","test_conduit_app","TestConduitApp","","","test_edit_article",""
"passed","Fri Aug 13 21:36:09 GMT 2021","Fri Aug 13 21:36:11 GMT 2021","1567","test","test_conduit_app","TestConduitApp","","","test_navigate_in_pages",""
"passed","Fri Aug 13 21:36:20 GMT 2021","Fri Aug 13 21:36:28 GMT 2021","8089","test","test_conduit_app","TestConduitApp","","","test_export_articles",""
"passed","Fri Aug 13 21:36:13 GMT 2021","Fri Aug 13 21:36:18 GMT 2021","5471","test","test_conduit_app","TestConduitApp","","","test_list_user_articles",""
