"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 22 21:18:30 GMT 2021","Sun Aug 22 21:19:25 GMT 2021","54764","test","test_conduit_app","TestConduitApp","","","test_delete_article",""
"passed","Sun Aug 22 21:17:29 GMT 2021","Sun Aug 22 21:17:31 GMT 2021","1451","test","test_conduit_app","TestConduitApp","","","test_login",""
"passed","Sun Aug 22 21:18:10 GMT 2021","Sun Aug 22 21:18:11 GMT 2021","1540","test","test_conduit_app","TestConduitApp","","","test_navigate_in_pages",""
"passed","Sun Aug 22 21:17:47 GMT 2021","Sun Aug 22 21:18:09 GMT 2021","22486","test","test_conduit_app","TestConduitApp","","","test_create_new_article_from_csv",""
"passed","Sun Aug 22 21:17:21 GMT 2021","Sun Aug 22 21:17:21 GMT 2021","135","test","test_conduit_app","TestConduitApp","","","test_accept_cookies",""
"passed","Sun Aug 22 21:19:26 GMT 2021","Sun Aug 22 21:19:28 GMT 2021","1498","test","test_conduit_app","TestConduitApp","","","test_logout",""
"passed","Sun Aug 22 21:17:22 GMT 2021","Sun Aug 22 21:17:27 GMT 2021","5351","test","test_conduit_app","TestConduitApp","","","test_registration",""
"passed","Sun Aug 22 21:18:20 GMT 2021","Sun Aug 22 21:18:28 GMT 2021","7984","test","test_conduit_app","TestConduitApp","","","test_export_articles",""
"passed","Sun Aug 22 21:18:13 GMT 2021","Sun Aug 22 21:18:19 GMT 2021","5437","test","test_conduit_app","TestConduitApp","","","test_list_user_articles",""
"passed","Sun Aug 22 21:17:32 GMT 2021","Sun Aug 22 21:17:36 GMT 2021","3269","test","test_conduit_app","TestConduitApp","","","test_create_new_article",""
"passed","Sun Aug 22 21:17:37 GMT 2021","Sun Aug 22 21:17:45 GMT 2021","7668","test","test_conduit_app","TestConduitApp","","","test_edit_article",""
