"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 09 18:05:40 GMT 2021","Mon Aug 09 18:05:43 GMT 2021","2756","test","test_conduit_app","TestConduitApp","","","test_create_new_article",""
"passed","Mon Aug 09 18:05:53 GMT 2021","Mon Aug 09 18:06:16 GMT 2021","22357","test","test_conduit_app","TestConduitApp","","","test_create_new_article_from_csv",""
"passed","Mon Aug 09 18:06:36 GMT 2021","Mon Aug 09 18:07:30 GMT 2021","54245","test","test_conduit_app","TestConduitApp","","","test_delete_article",""
"passed","Mon Aug 09 18:07:31 GMT 2021","Mon Aug 09 18:07:32 GMT 2021","1447","test","test_conduit_app","TestConduitApp","","","test_logout",""
"passed","Mon Aug 09 18:05:31 GMT 2021","Mon Aug 09 18:05:35 GMT 2021","4241","test","test_conduit_app","TestConduitApp","","","test_registration",""
"passed","Mon Aug 09 18:05:29 GMT 2021","Mon Aug 09 18:05:29 GMT 2021","118","test","test_conduit_app","TestConduitApp","","","test_accept_cookies",""
"passed","Mon Aug 09 18:06:17 GMT 2021","Mon Aug 09 18:06:19 GMT 2021","1476","test","test_conduit_app","TestConduitApp","","","test_navigate_in_pages",""
"passed","Mon Aug 09 18:05:44 GMT 2021","Mon Aug 09 18:05:51 GMT 2021","7250","test","test_conduit_app","TestConduitApp","","","test_edit_article",""
"passed","Mon Aug 09 18:06:20 GMT 2021","Mon Aug 09 18:06:26 GMT 2021","5341","test","test_conduit_app","TestConduitApp","","","test_list_user_articles",""
"passed","Mon Aug 09 18:06:27 GMT 2021","Mon Aug 09 18:06:35 GMT 2021","7735","test","test_conduit_app","TestConduitApp","","","test_export_articles",""
"passed","Mon Aug 09 18:05:37 GMT 2021","Mon Aug 09 18:05:38 GMT 2021","1400","test","test_conduit_app","TestConduitApp","","","test_login",""
